"FormID","ChemID","Chemical","Formulation","TG3ID","TherapeuticGrp3","TG2ID","TherapeuticGrp2","TG1ID","TherapeuticGrp1","BaseUnits","PropPharmPresc"
"181202","1812","Methylprednisolone (as sodium succinate)","Inj 125 mg vial","140701","Corticosteroids and Related Agents for Systemic Use","1407","Corticosteroids and Related Agents for Systemic Use","14","Hormone Preparations - Systemic Excluding Contraceptive Hormones","inj",48.7684729064039
"181201","1812","Methylprednisolone (as sodium succinate)","Inj 40 mg vial","140701","Corticosteroids and Related Agents for Systemic Use","1407","Corticosteroids and Related Agents for Systemic Use","14","Hormone Preparations - Systemic Excluding Contraceptive Hormones","inj",77.8464254192409
"181204","1812","Methylprednisolone (as sodium succinate)","Inj 500 mg vial","140701","Corticosteroids and Related Agents for Systemic Use","1407","Corticosteroids and Related Agents for Systemic Use","14","Hormone Preparations - Systemic Excluding Contraceptive Hormones","inj",77.4647887323944
"108201","1082","Methylprednisolone aceponate","Crm 0.1%","101101","Corticosteroids - Plain","1011","Corticosteroids Topical","10","Dermatologicals","g",99.7133397932816
"108202","1082","Methylprednisolone aceponate","Oint 0.1%","101101","Corticosteroids - Plain","1011","Corticosteroids Topical","10","Dermatologicals","g",99.9193548387097
"181005","1810","Methylprednisolone acetate","Inj 40 mg per ml, 1 ml vial","140701","Corticosteroids and Related Agents for Systemic Use","1407","Corticosteroids and Related Agents for Systemic Use","14","Hormone Preparations - Systemic Excluding Contraceptive Hormones","inj",56.9543723695638
"181403","1814","Metoclopramide hydrochloride","Inj 5 mg per ml, 2 ml ampoule","221601","Antinausea and Vertigo Agents","2216","Antinausea and Vertigo Agents","22","Nervous System","inj",68.8437987045905
"181401","1814","Metoclopramide hydrochloride","Tab 10 mg","221601","Antinausea and Vertigo Agents","2216","Antinausea and Vertigo Agents","22","Nervous System","tab",98.8453600191615
"400625","4006","Metolazone","Tab 5 mg","73110","Thiazide and Related Diuretics","731","Diuretics","7","Cardiovascular System","tab",99.7231581114342
"181703","1817","Metoprolol succinate","Tab long-acting 190 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9948904277122
"181725","1817","Metoprolol succinate","Tab long-acting 23.75 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9719037171958
"181701","1817","Metoprolol succinate","Tab long-acting 47.5 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9808974168663
"181702","1817","Metoprolol succinate","Tab long-acting 95 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9893166561915
"181804","1818","Metoprolol tartrate","Inj 1 mg per ml, 5 ml vial","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","inj",2.02942668696093
"181802","1818","Metoprolol tartrate","Tab 100 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9272025433716
"181801","1818","Metoprolol tartrate","Tab 50 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.5442962889168
"181803","1818","Metoprolol tartrate","Tab long-acting 200 mg","71601","Beta Adrenoceptor Blockers","716","Beta-Adrenoceptor Blockers","7","Cardiovascular System","tab",99.9945684055011
