"FormID","ChemID","Chemical","Formulation","TG3ID","TherapeuticGrp3","TG2ID","TherapeuticGrp2","TG1ID","TherapeuticGrp1","BaseUnits","PropPharmPresc"
"387125","3871","Lidocaine [Lignocaine] with chlorhexidine","Gel 2% with chlorhexidine 0.05%, 10 ml urethral syringes","220201","Local","2202","Anaesthetics","22","Nervous System","each",77.2194724641313
"171501","1715","Lidocaine [Lignocaine] with prilocaine","Crm 2.5% with prilocaine 2.5%","220204","Topical Local Anaesthetics","2202","Anaesthetics","22","Nervous System","g",100
"171502","1715","Lidocaine [Lignocaine] with prilocaine","Crm 2.5% with prilocaine 2.5% (5 g tubes)","220204","Topical Local Anaesthetics","2202","Anaesthetics","22","Nervous System","tube",100
"417925","4179","Linezolid","Tab 600 mg","161601","Antituberculotics and Antileprotics","1616","Antituberculotics and Antileprotics","16","Infections - Agents for Systemic Use","tab",100
"417325","4173","Liraglutide","Inj 6 mg per ml, 3 ml prefilled pen","11315","GLP-1 Agonists","113","Diabetes","1","Alimentary Tract and Metabolism","inj",100
"109032","1090","Lisdexamfetamine dimesilate","Cap 30 mg","223101","Stimulants/ADHD Treatments","2231","Stimulants/ADHD Treatments","22","Nervous System","cap",100
"109033","1090","Lisdexamfetamine dimesilate","Cap 50 mg","223101","Stimulants/ADHD Treatments","2231","Stimulants/ADHD Treatments","22","Nervous System","cap",100
"109034","1090","Lisdexamfetamine dimesilate","Cap 70 mg","223101","Stimulants/ADHD Treatments","2231","Stimulants/ADHD Treatments","22","Nervous System","cap",100
"279702","2797","Lisinopril","Tab 10 mg","70701","ACE Inhibitors","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9887537527278
"279703","2797","Lisinopril","Tab 20 mg","70701","ACE Inhibitors","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9971993840141
"279701","2797","Lisinopril","Tab 5 mg","70701","ACE Inhibitors","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9844139170422
"246604","2466","Lithium carbonate","Cap 250 mg","222201","General","2222","Antipsychotics","22","Nervous System","cap",99.9892600572584
"246603","2466","Lithium carbonate","Tab long-acting 400 mg","222201","General","2222","Antipsychotics","22","Nervous System","tab",99.9884658810722
"110301","1103","Lodoxamide","Eye drops 0.1%","310304","Corticosteroids and Other Anti-Inflammatory Preparations","3103","Eye Preparations","31","Sensory Organs","ml",99.7790684748777
"383825","3838","Lomustine","Cap 10 mg","250101","Alkylating Agents","2501","Chemotherapeutic Agents","25","Oncology Agents and Immunosuppressants","cap",100
"383826","3838","Lomustine","Cap 40 mg","250101","Alkylating Agents","2501","Chemotherapeutic Agents","25","Oncology Agents and Immunosuppressants","cap",100
"172801","1728","Loperamide hydrochloride","Cap 2 mg","10401","Agents Which Reduce Motility","104","Antidiarrhoeals","1","Alimentary Tract and Metabolism","cap",99.5793263060992
"172802","1728","Loperamide hydrochloride","Tab 2 mg","10401","Agents Which Reduce Motility","104","Antidiarrhoeals","1","Alimentary Tract and Metabolism","tab",99.5373737327454
"379827","3798","Lopinavir with ritonavir","Tab 200 mg with ritonavir 50 mg","162005","Protease Inhibitors","1620","Antiretrovirals","16","Infections - Agents for Systemic Use","tab",100
"283102","2831","Loratadine","Oral liq 1 mg per ml","280401","Antihistamines","2804","Antihistamines","28","Respiratory System and Allergies","ml",99.4067754453169
"283101","2831","Loratadine","Tab 10 mg","280401","Antihistamines","2804","Antihistamines","28","Respiratory System and Allergies","tab",99.7638768855679
"173004","1730","Lorazepam","Tab 1 mg","222501","Anxiolytics","2225","Anxiolytics","22","Nervous System","tab",99.7553240630372
"173002","1730","Lorazepam","Tab 2.5 mg","222501","Anxiolytics","2225","Anxiolytics","22","Nervous System","tab",99.8969953805239
"106125","1061","Losartan potassium","Tab 100 mg","70703","Angiotensin II Antagonists","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9967280292559
"106102","1061","Losartan potassium","Tab 12.5 mg","70703","Angiotensin II Antagonists","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9786037891895
"106126","1061","Losartan potassium","Tab 25 mg","70703","Angiotensin II Antagonists","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9808801221936
"106101","1061","Losartan potassium","Tab 50 mg","70703","Angiotensin II Antagonists","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9872167889555
"106805","1068","Losartan potassium with hydrochlorothiazide","Tab 50 mg with hydrochlorothiazide 12.5 mg","70705","Angiotensin II Antagonists with Diuretics","707","Agents Affecting the Renin-Angiotensin System","7","Cardiovascular System","tab",99.9969673803631
