"Type","TG2ID","TherapeuticGrp2","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2023,"29856","7708",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2023,"74748","19102",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2023,"247015","63495",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2023,"33866","8642",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2023,"323151","83044",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2023,"23354","6003",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2023,"43216","11161",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2023,"2770720","711766",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2024,"243914","63373",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2024,"151848","38343",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2024,"321140","81358",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2024,"153709","38589",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2024,"354822","91989",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2024,"108136","27495",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2024,"86064","21618",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2024,"65562","17076",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2024,"123905","30456",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2024,"98511","24625",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2024,"133252","34158",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2024,"44791","11377",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2024,"213615","53297",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2024,"30399","7863",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2024,"79640","20036",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2024,"259389","66215",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2024,"35367","8965",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2024,"344313","86826",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2024,"24473","6240",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2024,"44643","11320",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2024,"2917493","741219",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2025,"256105","66061",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2025,"158419","39811",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2025,"341060","86109",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2025,"162177","40208",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2025,"373049","96335",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2025,"113021","28571",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2025,"89165","22369",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2025,"68313","17761",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2025,"128625","31505",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2025,"100976","25213",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2025,"137739","35343",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2025,"46207","11746",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2025,"223194","55389",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2025,"30795","7974",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2025,"83235","20828",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2025,"272054","68958",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2025,"36820","9369",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2025,"362405","91189",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2025,"25761","6499",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2025,"46383","11785",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2025,"3055503","773023",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","Auckland",2021,"<6","<6",100
